exp_type;metric;revision_nr;traintestsplit;independent_test;revtype;trial;init_train_val;tp_0;fp_0;tn_0;fn_0;init_test_val;tp_0;fp_0;tn_0;fn_0;new_train_val;tp_0;fp_0;tn_0;fn_0;new_test_val;tp_0;fp_0;tn_0;fn_0;
sel;random;0;false;false;weakening;1;0.12591605596269154;0;1312;189;0;0.12591605596269154;0;1312;189;0;0.0313124583610926;0;1454;47;0;0.0313124583610926;0;1454;47;0;
sel;accuracy;0;false;false;weakening;1;0.12591605596269154;0;1312;189;0;0.12591605596269154;0;1312;189;0;0.12591605596269154;0;1312;189;0;0.12591605596269154;0;1312;189;0;
sel;accuracy;1;false;false;weakening;1;0.12591605596269154;0;1312;189;0;0.12591605596269154;0;1312;189;0;0.12591605596269154;0;1312;189;0;0.12591605596269154;0;1312;189;0;
sel;accuracy;2;false;false;weakening;1;0.12591605596269154;0;1312;189;0;0.12591605596269154;0;1312;189;0;0.12591605596269154;0;1312;189;0;0.12591605596269154;0;1312;189;0;
sel;accuracy;3;false;false;weakening;1;0.12591605596269154;0;1312;189;0;0.12591605596269154;0;1312;189;0;0.12591605596269154;0;1312;189;0;0.12591605596269154;0;1312;189;0;
sel;random;0;false;false;strengthening;1;0.12591605596269154;0;1312;189;0;0.12591605596269154;0;1312;189;0;0.12591605596269154;0;1312;189;0;0.12591605596269154;0;1312;189;0;
sel;accuracy;0;false;false;strengthening;1;0.12591605596269154;0;1312;189;0;0.12591605596269154;0;1312;189;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;1;false;false;strengthening;1;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;2;false;false;strengthening;1;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;3;false;false;strengthening;1;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;random;0;false;false;alteration;1;0.12591605596269154;0;1312;189;0;0.12591605596269154;0;1312;189;0;0.5003331112591606;0;750;751;0;0.5003331112591606;0;750;751;0;
sel;accuracy;0;false;false;alteration;1;0.12591605596269154;0;1312;189;0;0.12591605596269154;0;1312;189;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;1;false;false;alteration;1;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;2;false;false;alteration;1;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;3;false;false;alteration;1;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;random;0;false;false;weakening;2;0.0692410119840213;0;1398;104;0;0.0692410119840213;0;1398;104;0;0.0692410119840213;0;1398;104;0;0.0692410119840213;0;1398;104;0;
sel;accuracy;0;false;false;weakening;2;0.0692410119840213;0;1398;104;0;0.0692410119840213;0;1398;104;0;0.0692410119840213;0;1398;104;0;0.0692410119840213;0;1398;104;0;
sel;accuracy;1;false;false;weakening;2;0.0692410119840213;0;1398;104;0;0.0692410119840213;0;1398;104;0;0.0692410119840213;0;1398;104;0;0.0692410119840213;0;1398;104;0;
sel;accuracy;2;false;false;weakening;2;0.0692410119840213;0;1398;104;0;0.0692410119840213;0;1398;104;0;0.0692410119840213;0;1398;104;0;0.0692410119840213;0;1398;104;0;
sel;accuracy;3;false;false;weakening;2;0.0692410119840213;0;1398;104;0;0.0692410119840213;0;1398;104;0;0.0692410119840213;0;1398;104;0;0.0692410119840213;0;1398;104;0;
sel;random;0;false;false;strengthening;2;0.0692410119840213;0;1398;104;0;0.0692410119840213;0;1398;104;0;1.0;0;0;1502;0;1.0;0;0;1502;0;
sel;accuracy;0;false;false;strengthening;2;0.0692410119840213;0;1398;104;0;0.0692410119840213;0;1398;104;0;1.0;0;0;1502;0;1.0;0;0;1502;0;
sel;accuracy;1;false;false;strengthening;2;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;
sel;accuracy;2;false;false;strengthening;2;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;
sel;accuracy;3;false;false;strengthening;2;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;
sel;random;0;false;false;alteration;2;0.0692410119840213;0;1398;104;0;0.0692410119840213;0;1398;104;0;0.5006657789613849;0;750;752;0;0.5006657789613849;0;750;752;0;
sel;accuracy;0;false;false;alteration;2;0.0692410119840213;0;1398;104;0;0.0692410119840213;0;1398;104;0;1.0;0;0;1502;0;1.0;0;0;1502;0;
sel;accuracy;1;false;false;alteration;2;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;
sel;accuracy;2;false;false;alteration;2;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;
sel;accuracy;3;false;false;alteration;2;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;
sel;random;0;false;false;weakening;3;0.06995336442371752;0;1396;105;0;0.06995336442371752;0;1396;105;0;0.022651565622918056;0;1467;34;0;0.022651565622918056;0;1467;34;0;
sel;accuracy;0;false;false;weakening;3;0.06995336442371752;0;1396;105;0;0.06995336442371752;0;1396;105;0;0.06995336442371752;0;1396;105;0;0.06995336442371752;0;1396;105;0;
sel;accuracy;1;false;false;weakening;3;0.06995336442371752;0;1396;105;0;0.06995336442371752;0;1396;105;0;0.06995336442371752;0;1396;105;0;0.06995336442371752;0;1396;105;0;
sel;accuracy;2;false;false;weakening;3;0.06995336442371752;0;1396;105;0;0.06995336442371752;0;1396;105;0;0.06995336442371752;0;1396;105;0;0.06995336442371752;0;1396;105;0;
sel;accuracy;3;false;false;weakening;3;0.06995336442371752;0;1396;105;0;0.06995336442371752;0;1396;105;0;0.06995336442371752;0;1396;105;0;0.06995336442371752;0;1396;105;0;
sel;random;0;false;false;strengthening;3;0.06995336442371752;0;1396;105;0;0.06995336442371752;0;1396;105;0;0.5023317788141239;0;747;754;0;0.5023317788141239;0;747;754;0;
sel;accuracy;0;false;false;strengthening;3;0.06995336442371752;0;1396;105;0;0.06995336442371752;0;1396;105;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;1;false;false;strengthening;3;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;2;false;false;strengthening;3;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;3;false;false;strengthening;3;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;random;0;false;false;alteration;3;0.06995336442371752;0;1396;105;0;0.06995336442371752;0;1396;105;0;0.49300466355762823;0;761;740;0;0.49300466355762823;0;761;740;0;
sel;accuracy;0;false;false;alteration;3;0.06995336442371752;0;1396;105;0;0.06995336442371752;0;1396;105;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;1;false;false;alteration;3;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;2;false;false;alteration;3;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;3;false;false;alteration;3;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;random;0;false;false;weakening;4;0.005329780146568954;0;1493;8;0;0.005329780146568954;0;1493;8;0;0.001998667554963358;0;1498;3;0;0.001998667554963358;0;1498;3;0;
sel;accuracy;0;false;false;weakening;4;0.005329780146568954;0;1493;8;0;0.005329780146568954;0;1493;8;0;0.005329780146568954;0;1493;8;0;0.005329780146568954;0;1493;8;0;
sel;accuracy;1;false;false;weakening;4;0.005329780146568954;0;1493;8;0;0.005329780146568954;0;1493;8;0;0.005329780146568954;0;1493;8;0;0.005329780146568954;0;1493;8;0;
sel;accuracy;2;false;false;weakening;4;0.005329780146568954;0;1493;8;0;0.005329780146568954;0;1493;8;0;0.005329780146568954;0;1493;8;0;0.005329780146568954;0;1493;8;0;
sel;accuracy;3;false;false;weakening;4;0.005329780146568954;0;1493;8;0;0.005329780146568954;0;1493;8;0;0.005329780146568954;0;1493;8;0;0.005329780146568954;0;1493;8;0;
sel;random;0;false;false;strengthening;4;0.005329780146568954;0;1493;8;0;0.005329780146568954;0;1493;8;0;0.508327781479014;0;738;763;0;0.508327781479014;0;738;763;0;
sel;accuracy;0;false;false;strengthening;4;0.005329780146568954;0;1493;8;0;0.005329780146568954;0;1493;8;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;1;false;false;strengthening;4;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;2;false;false;strengthening;4;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;3;false;false;strengthening;4;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;random;0;false;false;alteration;4;0.005329780146568954;0;1493;8;0;0.005329780146568954;0;1493;8;0;0.03397734843437708;0;1450;51;0;0.03397734843437708;0;1450;51;0;
sel;accuracy;0;false;false;alteration;4;0.005329780146568954;0;1493;8;0;0.005329780146568954;0;1493;8;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;1;false;false;alteration;4;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;2;false;false;alteration;4;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;accuracy;3;false;false;alteration;4;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;1.0;0;0;1501;0;
sel;random;0;false;false;weakening;5;0.11984021304926765;0;1322;180;0;0.11984021304926765;0;1322;180;0;0.03794940079893475;0;1445;57;0;0.03794940079893475;0;1445;57;0;
sel;accuracy;0;false;false;weakening;5;0.11984021304926765;0;1322;180;0;0.11984021304926765;0;1322;180;0;0.11984021304926765;0;1322;180;0;0.11984021304926765;0;1322;180;0;
sel;accuracy;1;false;false;weakening;5;0.11984021304926765;0;1322;180;0;0.11984021304926765;0;1322;180;0;0.11984021304926765;0;1322;180;0;0.11984021304926765;0;1322;180;0;
sel;accuracy;2;false;false;weakening;5;0.11984021304926765;0;1322;180;0;0.11984021304926765;0;1322;180;0;0.11984021304926765;0;1322;180;0;0.11984021304926765;0;1322;180;0;
sel;accuracy;3;false;false;weakening;5;0.11984021304926765;0;1322;180;0;0.11984021304926765;0;1322;180;0;0.11984021304926765;0;1322;180;0;0.11984021304926765;0;1322;180;0;
sel;random;0;false;false;strengthening;5;0.11984021304926765;0;1322;180;0;0.11984021304926765;0;1322;180;0;1.0;0;0;1502;0;1.0;0;0;1502;0;
sel;accuracy;0;false;false;strengthening;5;0.11984021304926765;0;1322;180;0;0.11984021304926765;0;1322;180;0;1.0;0;0;1502;0;1.0;0;0;1502;0;
sel;accuracy;1;false;false;strengthening;5;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;
sel;accuracy;2;false;false;strengthening;5;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;
sel;accuracy;3;false;false;strengthening;5;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;
