exp_type;metric;revision_nr;traintestsplit;independent_test;revtype;trial;init_train_val;pfc;ppc1;ppc2;pfw;nfw;npc2;npc1;nfc;init_test_val;pfc;ppc1;ppc2;pfw;nfw;npc2;npc1;nfc;new_train_val;pfc;ppc1;ppc2;pfw;nfw;npc2;npc1;nfc;new_test_val;pfc;ppc1;ppc2;pfw;nfw;npc2;npc1;nfc;
sel;random;0;false;false;weakening;1;0.008327781479013991;3;0;3;0;1304;23;160;8;0.008327781479013991;3;0;3;0;1304;23;160;8;0.004663557628247834;4;0;2;0;1412;29;52;2;0.004663557628247834;4;0;2;0;1412;29;52;2;
sel;mlacc;0;false;false;weakening;1;0.008327781479013991;3;0;3;0;1304;23;160;8;0.008327781479013991;3;0;3;0;1304;23;160;8;0.008327781479013991;3;0;3;0;1304;23;160;8;0.008327781479013991;3;0;3;0;1304;23;160;8;
sel;mlacc;1;false;false;weakening;1;0.008327781479013991;3;0;3;0;1304;23;160;8;0.008327781479013991;3;0;3;0;1304;23;160;8;0.008327781479013991;3;0;3;0;1304;23;160;8;0.008327781479013991;3;0;3;0;1304;23;160;8;
sel;mlacc;2;false;false;weakening;1;0.008327781479013991;3;0;3;0;1304;23;160;8;0.008327781479013991;3;0;3;0;1304;23;160;8;0.008327781479013991;3;0;3;0;1304;23;160;8;0.008327781479013991;3;0;3;0;1304;23;160;8;
sel;mlacc;3;false;false;weakening;1;0.008327781479013991;3;0;3;0;1304;23;160;8;0.008327781479013991;3;0;3;0;1304;23;160;8;0.008327781479013991;3;0;3;0;1304;23;160;8;0.008327781479013991;3;0;3;0;1304;23;160;8;
sel;random;0;false;false;strengthening;1;0.008327781479013991;3;0;3;0;1304;23;160;8;0.008327781479013991;3;0;3;0;1304;23;160;8;0.10193204530313124;2;0;4;0;104;512;730;149;0.10193204530313124;2;0;4;0;104;512;730;149;
sel;mlacc;0;false;false;strengthening;1;0.008327781479013991;3;0;3;0;1304;23;160;8;0.008327781479013991;3;0;3;0;1304;23;160;8;0.9227181878747501;0;0;4;2;0;0;112;1383;0.9227181878747501;0;0;4;2;0;0;112;1383;
sel;mlacc;1;false;false;strengthening;1;0.9227181878747501;0;0;4;2;0;0;112;1383;0.9227181878747501;0;0;4;2;0;0;112;1383;0.9227181878747501;0;0;4;2;0;0;112;1383;0.9227181878747501;0;0;4;2;0;0;112;1383;
sel;mlacc;2;false;false;strengthening;1;0.9227181878747501;0;0;4;2;0;0;112;1383;0.9227181878747501;0;0;4;2;0;0;112;1383;0.9227181878747501;0;0;4;2;0;0;112;1383;0.9227181878747501;0;0;4;2;0;0;112;1383;
sel;mlacc;3;false;false;strengthening;1;0.9227181878747501;0;0;4;2;0;0;112;1383;0.9227181878747501;0;0;4;2;0;0;112;1383;0.9227181878747501;0;0;4;2;0;0;112;1383;0.9227181878747501;0;0;4;2;0;0;112;1383;
sel;random;0;false;false;alteration;1;0.008327781479013991;3;0;3;0;1304;23;160;8;0.008327781479013991;3;0;3;0;1304;23;160;8;0.04163890739506995;1;0;5;0;812;602;22;59;0.04163890739506995;1;0;5;0;812;602;22;59;
sel;mlacc;0;false;false;alteration;1;0.008327781479013991;3;0;3;0;1304;23;160;8;0.008327781479013991;3;0;3;0;1304;23;160;8;0.9227181878747501;0;0;4;2;0;0;112;1383;0.9227181878747501;0;0;4;2;0;0;112;1383;
sel;mlacc;1;false;false;alteration;1;0.9227181878747501;0;0;4;2;0;0;112;1383;0.9227181878747501;0;0;4;2;0;0;112;1383;0.9227181878747501;0;0;4;2;0;0;112;1383;0.9227181878747501;0;0;4;2;0;0;112;1383;
sel;mlacc;2;false;false;alteration;1;0.9227181878747501;0;0;4;2;0;0;112;1383;0.9227181878747501;0;0;4;2;0;0;112;1383;0.9227181878747501;0;0;4;2;0;0;112;1383;0.9227181878747501;0;0;4;2;0;0;112;1383;
sel;mlacc;3;false;false;alteration;1;0.9227181878747501;0;0;4;2;0;0;112;1383;0.9227181878747501;0;0;4;2;0;0;112;1383;0.9227181878747501;0;0;4;2;0;0;112;1383;0.9227181878747501;0;0;4;2;0;0;112;1383;
sel;random;0;false;false;weakening;2;0.6584553928095872;947;0;84;0;471;0;0;0;0.6584553928095872;947;0;84;0;471;0;0;0;0.6764314247669774;1001;0;30;0;471;0;0;0;0.6764314247669774;1001;0;30;0;471;0;0;0;
sel;mlacc;0;false;false;weakening;2;0.6584553928095872;947;0;84;0;471;0;0;0;0.6584553928095872;947;0;84;0;471;0;0;0;0.6864181091877497;1031;0;0;0;471;0;0;0;0.6864181091877497;1031;0;0;0;471;0;0;0;
sel;mlacc;1;false;false;weakening;2;0.6864181091877497;1031;0;0;0;471;0;0;0;0.6864181091877497;1031;0;0;0;471;0;0;0;0.6864181091877497;1031;0;0;0;471;0;0;0;0.6864181091877497;1031;0;0;0;471;0;0;0;
sel;mlacc;2;false;false;weakening;2;0.6864181091877497;1031;0;0;0;471;0;0;0;0.6864181091877497;1031;0;0;0;471;0;0;0;0.6864181091877497;1031;0;0;0;471;0;0;0;0.6864181091877497;1031;0;0;0;471;0;0;0;
sel;mlacc;3;false;false;weakening;2;0.6864181091877497;1031;0;0;0;471;0;0;0;0.6864181091877497;1031;0;0;0;471;0;0;0;0.6864181091877497;1031;0;0;0;471;0;0;0;0.6864181091877497;1031;0;0;0;471;0;0;0;
sel;random;0;false;false;strengthening;2;0.6584553928095872;947;0;84;0;471;0;0;0;0.6584553928095872;947;0;84;0;471;0;0;0;0.35086551264980026;0;0;1016;15;0;0;452;19;0.35086551264980026;0;0;1016;15;0;0;452;19;
sel;mlacc;0;false;false;strengthening;2;0.6584553928095872;947;0;84;0;471;0;0;0;0.6584553928095872;947;0;84;0;471;0;0;0;0.6641145139813582;697;79;154;101;74;66;147;184;0.6641145139813582;697;79;154;101;74;66;147;184;
sel;mlacc;1;false;false;strengthening;2;0.6641145139813582;697;79;154;101;74;66;147;184;0.6641145139813582;697;79;154;101;74;66;147;184;0.6641145139813582;697;79;154;101;74;66;147;184;0.6641145139813582;697;79;154;101;74;66;147;184;
sel;mlacc;2;false;false;strengthening;2;0.6641145139813582;697;79;154;101;74;66;147;184;0.6641145139813582;697;79;154;101;74;66;147;184;0.6641145139813582;697;79;154;101;74;66;147;184;0.6641145139813582;697;79;154;101;74;66;147;184;
sel;mlacc;3;false;false;strengthening;2;0.6641145139813582;697;79;154;101;74;66;147;184;0.6641145139813582;697;79;154;101;74;66;147;184;0.6641145139813582;697;79;154;101;74;66;147;184;0.6641145139813582;697;79;154;101;74;66;147;184;
sel;random;0;false;false;alteration;2;0.6584553928095872;947;0;84;0;471;0;0;0;0.6584553928095872;947;0;84;0;471;0;0;0;0.38648468708388817;130;180;721;0;221;250;0;0;0.38648468708388817;130;180;721;0;221;250;0;0;
sel;mlacc;0;false;false;alteration;2;0.6584553928095872;947;0;84;0;471;0;0;0;0.6584553928095872;947;0;84;0;471;0;0;0;0.6864181091877497;1031;0;0;0;471;0;0;0;0.6864181091877497;1031;0;0;0;471;0;0;0;
sel;mlacc;1;false;false;alteration;2;0.6864181091877497;1031;0;0;0;471;0;0;0;0.6864181091877497;1031;0;0;0;471;0;0;0;0.6864181091877497;1031;0;0;0;471;0;0;0;0.6864181091877497;1031;0;0;0;471;0;0;0;
sel;mlacc;2;false;false;alteration;2;0.6864181091877497;1031;0;0;0;471;0;0;0;0.6864181091877497;1031;0;0;0;471;0;0;0;0.6864181091877497;1031;0;0;0;471;0;0;0;0.6864181091877497;1031;0;0;0;471;0;0;0;
sel;mlacc;3;false;false;alteration;2;0.6864181091877497;1031;0;0;0;471;0;0;0;0.6864181091877497;1031;0;0;0;471;0;0;0;0.6864181091877497;1031;0;0;0;471;0;0;0;0.6864181091877497;1031;0;0;0;471;0;0;0;
sel;random;0;false;false;weakening;3;0.6029313790806129;841;3;125;1;531;0;0;0;0.6029313790806129;841;3;125;1;531;0;0;0;0.6449033977348434;966;4;0;0;531;0;0;0;0.6449033977348434;966;4;0;0;531;0;0;0;
sel;mlacc;0;false;false;weakening;3;0.6029313790806129;841;3;125;1;531;0;0;0;0.6029313790806129;841;3;125;1;531;0;0;0;0.6455696202531646;968;2;0;0;531;0;0;0;0.6455696202531646;968;2;0;0;531;0;0;0;
sel;mlacc;1;false;false;weakening;3;0.6455696202531646;968;2;0;0;531;0;0;0;0.6455696202531646;968;2;0;0;531;0;0;0;0.6455696202531646;968;2;0;0;531;0;0;0;0.6455696202531646;968;2;0;0;531;0;0;0;
sel;mlacc;2;false;false;weakening;3;0.6455696202531646;968;2;0;0;531;0;0;0;0.6455696202531646;968;2;0;0;531;0;0;0;0.6455696202531646;968;2;0;0;531;0;0;0;0.6455696202531646;968;2;0;0;531;0;0;0;
sel;mlacc;3;false;false;weakening;3;0.6455696202531646;968;2;0;0;531;0;0;0;0.6455696202531646;968;2;0;0;531;0;0;0;0.6455696202531646;968;2;0;0;531;0;0;0;0.6455696202531646;968;2;0;0;531;0;0;0;
sel;random;0;false;false;strengthening;3;0.6029313790806129;841;3;125;1;531;0;0;0;0.6029313790806129;841;3;125;1;531;0;0;0;0.3814123917388408;188;0;769;13;531;0;0;0;0.3814123917388408;188;0;769;13;531;0;0;0;
sel;mlacc;0;false;false;strengthening;3;0.6029313790806129;841;3;125;1;531;0;0;0;0.6029313790806129;841;3;125;1;531;0;0;0;0.6029313790806129;841;3;125;1;531;0;0;0;0.6029313790806129;841;3;125;1;531;0;0;0;
sel;mlacc;1;false;false;strengthening;3;0.6029313790806129;841;3;125;1;531;0;0;0;0.6029313790806129;841;3;125;1;531;0;0;0;0.6029313790806129;841;3;125;1;531;0;0;0;0.6029313790806129;841;3;125;1;531;0;0;0;
sel;mlacc;2;false;false;strengthening;3;0.6029313790806129;841;3;125;1;531;0;0;0;0.6029313790806129;841;3;125;1;531;0;0;0;0.6029313790806129;841;3;125;1;531;0;0;0;0.6029313790806129;841;3;125;1;531;0;0;0;
sel;mlacc;3;false;false;strengthening;3;0.6029313790806129;841;3;125;1;531;0;0;0;0.6029313790806129;841;3;125;1;531;0;0;0;0.6029313790806129;841;3;125;1;531;0;0;0;0.6029313790806129;841;3;125;1;531;0;0;0;
sel;random;0;false;false;alteration;3;0.6029313790806129;841;3;125;1;531;0;0;0;0.6029313790806129;841;3;125;1;531;0;0;0;0.3117921385742838;0;0;936;34;0;0;531;0;0.3117921385742838;0;0;936;34;0;0;531;0;
sel;mlacc;0;false;false;alteration;3;0.6029313790806129;841;3;125;1;531;0;0;0;0.6029313790806129;841;3;125;1;531;0;0;0;0.6455696202531646;968;2;0;0;531;0;0;0;0.6455696202531646;968;2;0;0;531;0;0;0;
sel;mlacc;1;false;false;alteration;3;0.6455696202531646;968;2;0;0;531;0;0;0;0.6455696202531646;968;2;0;0;531;0;0;0;0.6455696202531646;968;2;0;0;531;0;0;0;0.6455696202531646;968;2;0;0;531;0;0;0;
sel;mlacc;2;false;false;alteration;3;0.6455696202531646;968;2;0;0;531;0;0;0;0.6455696202531646;968;2;0;0;531;0;0;0;0.6455696202531646;968;2;0;0;531;0;0;0;0.6455696202531646;968;2;0;0;531;0;0;0;
sel;mlacc;3;false;false;alteration;3;0.6455696202531646;968;2;0;0;531;0;0;0;0.6455696202531646;968;2;0;0;531;0;0;0;0.6455696202531646;968;2;0;0;531;0;0;0;0.6455696202531646;968;2;0;0;531;0;0;0;
sel;random;0;false;false;weakening;4;0.6219187208527648;930;0;7;0;564;0;0;0;0.6219187208527648;930;0;7;0;564;0;0;0;0.6219187208527648;930;0;7;0;564;0;0;0;0.6219187208527648;930;0;7;0;564;0;0;0;
sel;mlacc;0;false;false;weakening;4;0.6219187208527648;930;0;7;0;564;0;0;0;0.6219187208527648;930;0;7;0;564;0;0;0;0.6242504996668887;937;0;0;0;564;0;0;0;0.6242504996668887;937;0;0;0;564;0;0;0;
sel;mlacc;1;false;false;weakening;4;0.6242504996668887;937;0;0;0;564;0;0;0;0.6242504996668887;937;0;0;0;564;0;0;0;0.6242504996668887;937;0;0;0;564;0;0;0;0.6242504996668887;937;0;0;0;564;0;0;0;
sel;mlacc;2;false;false;weakening;4;0.6242504996668887;937;0;0;0;564;0;0;0;0.6242504996668887;937;0;0;0;564;0;0;0;0.6242504996668887;937;0;0;0;564;0;0;0;0.6242504996668887;937;0;0;0;564;0;0;0;
sel;mlacc;3;false;false;weakening;4;0.6242504996668887;937;0;0;0;564;0;0;0;0.6242504996668887;937;0;0;0;564;0;0;0;0.6242504996668887;937;0;0;0;564;0;0;0;0.6242504996668887;937;0;0;0;564;0;0;0;
sel;random;0;false;false;strengthening;4;0.6219187208527648;930;0;7;0;564;0;0;0;0.6219187208527648;930;0;7;0;564;0;0;0;0.31212524983344436;0;0;937;0;0;0;564;0;0.31212524983344436;0;0;937;0;0;0;564;0;
sel;mlacc;0;false;false;strengthening;4;0.6219187208527648;930;0;7;0;564;0;0;0;0.6219187208527648;930;0;7;0;564;0;0;0;0.6219187208527648;930;0;7;0;564;0;0;0;0.6219187208527648;930;0;7;0;564;0;0;0;
sel;mlacc;1;false;false;strengthening;4;0.6219187208527648;930;0;7;0;564;0;0;0;0.6219187208527648;930;0;7;0;564;0;0;0;0.6219187208527648;930;0;7;0;564;0;0;0;0.6219187208527648;930;0;7;0;564;0;0;0;
sel;mlacc;2;false;false;strengthening;4;0.6219187208527648;930;0;7;0;564;0;0;0;0.6219187208527648;930;0;7;0;564;0;0;0;0.6219187208527648;930;0;7;0;564;0;0;0;0.6219187208527648;930;0;7;0;564;0;0;0;
sel;mlacc;3;false;false;strengthening;4;0.6219187208527648;930;0;7;0;564;0;0;0;0.6219187208527648;930;0;7;0;564;0;0;0;0.6219187208527648;930;0;7;0;564;0;0;0;0.6219187208527648;930;0;7;0;564;0;0;0;
sel;random;0;false;false;alteration;4;0.6219187208527648;930;0;7;0;564;0;0;0;0.6219187208527648;930;0;7;0;564;0;0;0;0.6192538307794804;922;8;7;0;563;1;0;0;0.6192538307794804;922;8;7;0;563;1;0;0;
sel;mlacc;0;false;false;alteration;4;0.6219187208527648;930;0;7;0;564;0;0;0;0.6219187208527648;930;0;7;0;564;0;0;0;0.6242504996668887;937;0;0;0;564;0;0;0;0.6242504996668887;937;0;0;0;564;0;0;0;
sel;mlacc;1;false;false;alteration;4;0.6242504996668887;937;0;0;0;564;0;0;0;0.6242504996668887;937;0;0;0;564;0;0;0;0.6242504996668887;937;0;0;0;564;0;0;0;0.6242504996668887;937;0;0;0;564;0;0;0;
sel;mlacc;2;false;false;alteration;4;0.6242504996668887;937;0;0;0;564;0;0;0;0.6242504996668887;937;0;0;0;564;0;0;0;0.6242504996668887;937;0;0;0;564;0;0;0;0.6242504996668887;937;0;0;0;564;0;0;0;
sel;mlacc;3;false;false;alteration;4;0.6242504996668887;937;0;0;0;564;0;0;0;0.6242504996668887;937;0;0;0;564;0;0;0;0.6242504996668887;937;0;0;0;564;0;0;0;0.6242504996668887;937;0;0;0;564;0;0;0;
sel;random;0;false;false;weakening;5;0.005326231691078562;8;0;0;0;1337;0;157;0;0.005326231691078562;8;0;0;0;1337;0;157;0;0.005326231691078562;8;0;0;0;1494;0;0;0;0.005326231691078562;8;0;0;0;1494;0;0;0;
