exp_type;metric;revision_nr;traintestsplit;independent_test;revtype;trial;init_train_val;pfc;ppc1;ppc2;pfw;nfw;npc2;npc1;nfc;init_test_val;pfc;ppc1;ppc2;pfw;nfw;npc2;npc1;nfc;new_train_val;pfc;ppc1;ppc2;pfw;nfw;npc2;npc1;nfc;new_test_val;pfc;ppc1;ppc2;pfw;nfw;npc2;npc1;nfc;
sel;random;0;false;false;alteration;1;0.0692871419053964;3;0;3;0;1304;23;160;8;0.0692871419053964;3;0;3;0;1304;23;160;8;0.2335109926715523;1;0;5;0;822;643;9;21;0.2335109926715523;1;0;5;0;822;643;9;21;
sel;accuracy;0;false;false;alteration;1;0.0692871419053964;3;0;3;0;1304;23;160;8;0.0692871419053964;3;0;3;0;1304;23;160;8;0.9600266489007329;0;0;4;2;0;0;112;1383;0.9600266489007329;0;0;4;2;0;0;112;1383;
sel;random;0;false;false;alteration;2;0.6584553928095873;947;0;84;0;471;0;0;0;0.6584553928095873;947;0;84;0;471;0;0;0;0.5233022636484688;0;0;851;180;0;0;221;250;0.5233022636484688;0;0;851;180;0;0;221;250;
sel;accuracy;0;false;false;alteration;2;0.6584553928095873;947;0;84;0;471;0;0;0;0.6584553928095873;947;0;84;0;471;0;0;0;0.7350199733688416;697;79;154;101;74;66;147;184;0.7350199733688416;697;79;154;101;74;66;147;184;
sel;random;0;false;false;alteration;3;0.6029313790806129;841;3;125;1;531;0;0;0;0.6029313790806129;841;3;125;1;531;0;0;0;0.3840772818121252;188;0;777;5;531;0;0;0;0.3840772818121252;188;0;777;5;531;0;0;0;
sel;accuracy;0;false;false;alteration;3;0.6029313790806129;841;3;125;1;531;0;0;0;0.6029313790806129;841;3;125;1;531;0;0;0;0.6882078614257161;750;2;218;0;185;0;346;0;0.6882078614257161;750;2;218;0;185;0;346;0;
sel;random;0;false;false;alteration;4;0.6219187208527648;930;0;7;0;564;0;0;0;0.6219187208527648;930;0;7;0;564;0;0;0;0.43670886075949367;0;0;437;500;0;0;254;310;0.43670886075949367;0;0;437;500;0;0;254;310;
sel;accuracy;0;false;false;alteration;4;0.6219187208527648;930;0;7;0;564;0;0;0;0.6219187208527648;930;0;7;0;564;0;0;0;0.6242504996668887;937;0;0;0;564;0;0;0;0.6242504996668887;937;0;0;0;564;0;0;0;
sel;random;0;false;false;alteration;5;0.05758988015978695;8;0;0;0;1337;0;157;0;0.05758988015978695;8;0;0;0;1337;0;157;0;0.25865512649800265;5;0;3;0;731;0;762;1;0.25865512649800265;5;0;3;0;731;0;762;1;
sel;accuracy;0;false;false;alteration;5;0.05758988015978695;8;0;0;0;1337;0;157;0;0.05758988015978695;8;0;0;0;1337;0;157;0;0.7729693741677763;0;0;3;5;0;0;669;825;0.7729693741677763;0;0;3;5;0;0;669;825;
sel;random;0;false;false;alteration;6;0.07694870086608926;11;0;1;0;1286;47;151;5;0.07694870086608926;11;0;1;0;1286;47;151;5;0.5013324450366422;11;0;1;0;7;1482;0;0;0.5013324450366422;11;0;1;0;7;1482;0;0;
sel;accuracy;0;false;false;alteration;6;0.07694870086608926;11;0;1;0;1286;47;151;5;0.07694870086608926;11;0;1;0;1286;47;151;5;0.9936708860759493;0;0;12;0;0;0;7;1482;0.9936708860759493;0;0;12;0;0;0;7;1482;
sel;random;0;false;false;alteration;7;0.6364846870838881;955;0;0;0;545;2;0;0;0.6364846870838881;955;0;0;0;545;2;0;0;0.646138482023968;463;392;56;44;127;108;165;147;0.646138482023968;463;392;56;44;127;108;165;147;
sel;accuracy;0;false;false;alteration;7;0.6364846870838881;955;0;0;0;545;2;0;0;0.6364846870838881;955;0;0;0;545;2;0;0;0.8135818908122503;756;4;85;110;2;1;246;298;0.8135818908122503;756;4;85;110;2;1;246;298;
