exp_type;metric;revision_nr;traintestsplit;independent_test;revtype;trial;init_train_val;tp_0;fp_0;tn_0;fn_0;tp_1;fp_1;tn_1;fn_1;init_test_val;tp_0;fp_0;tn_0;fn_0;tp_1;fp_1;tn_1;fn_1;new_train_val;tp_0;fp_0;tn_0;fn_0;tp_1;fp_1;tn_1;fn_1;new_test_val;tp_0;fp_0;tn_0;fn_0;tp_1;fp_1;tn_1;fn_1;
sel;random;0;false;false;weakening;1;0.0692871419053964;3;1327;168;3;6;1464;31;0;0.0692871419053964;3;1327;168;3;6;1464;31;0;0.03164556962025317;4;1441;54;2;6;1464;31;0;0.03164556962025317;4;1441;54;2;6;1464;31;0;
sel;accuracy;0;false;false;weakening;1;0.0692871419053964;3;1327;168;3;6;1464;31;0;0.0692871419053964;3;1327;168;3;6;1464;31;0;0.0692871419053964;3;1327;168;3;6;1464;31;0;0.0692871419053964;3;1327;168;3;6;1464;31;0;
sel;accuracy;1;false;false;weakening;1;0.0692871419053964;3;1327;168;3;6;1464;31;0;0.0692871419053964;3;1327;168;3;6;1464;31;0;0.0692871419053964;3;1327;168;3;6;1464;31;0;0.0692871419053964;3;1327;168;3;6;1464;31;0;
sel;accuracy;2;false;false;weakening;1;0.0692871419053964;3;1327;168;3;6;1464;31;0;0.0692871419053964;3;1327;168;3;6;1464;31;0;0.0692871419053964;3;1327;168;3;6;1464;31;0;0.0692871419053964;3;1327;168;3;6;1464;31;0;
sel;accuracy;3;false;false;weakening;1;0.0692871419053964;3;1327;168;3;6;1464;31;0;0.0692871419053964;3;1327;168;3;6;1464;31;0;0.0692871419053964;3;1327;168;3;6;1464;31;0;0.0692871419053964;3;1327;168;3;6;1464;31;0;
sel;random;0;false;false;strengthening;1;0.0692871419053964;3;1327;168;3;6;1464;31;0;0.0692871419053964;3;1327;168;3;6;1464;31;0;0.45869420386409065;1;755;740;5;6;865;630;0;0.45869420386409065;1;755;740;5;6;865;630;0;
sel;accuracy;0;false;false;strengthening;1;0.0692871419053964;3;1327;168;3;6;1464;31;0;0.0692871419053964;3;1327;168;3;6;1464;31;0;0.9600266489007329;0;0;1495;6;4;112;1383;2;0.9600266489007329;0;0;1495;6;4;112;1383;2;
sel;accuracy;1;false;false;strengthening;1;0.9600266489007329;0;0;1495;6;4;112;1383;2;0.9600266489007329;0;0;1495;6;4;112;1383;2;0.9600266489007329;0;0;1495;6;4;112;1383;2;0.9600266489007329;0;0;1495;6;4;112;1383;2;
sel;accuracy;2;false;false;strengthening;1;0.9600266489007329;0;0;1495;6;4;112;1383;2;0.9600266489007329;0;0;1495;6;4;112;1383;2;0.9600266489007329;0;0;1495;6;4;112;1383;2;0.9600266489007329;0;0;1495;6;4;112;1383;2;
sel;accuracy;3;false;false;strengthening;1;0.9600266489007329;0;0;1495;6;4;112;1383;2;0.9600266489007329;0;0;1495;6;4;112;1383;2;0.9600266489007329;0;0;1495;6;4;112;1383;2;0.9600266489007329;0;0;1495;6;4;112;1383;2;
sel;random;0;false;false;alteration;1;0.0692871419053964;3;1327;168;3;6;1464;31;0;0.0692871419053964;3;1327;168;3;6;1464;31;0;0.29347101932045305;1;1272;223;5;6;844;651;0;0.29347101932045305;1;1272;223;5;6;844;651;0;
sel;accuracy;0;false;false;alteration;1;0.0692871419053964;3;1327;168;3;6;1464;31;0;0.0692871419053964;3;1327;168;3;6;1464;31;0;0.9600266489007329;0;0;1495;6;4;112;1383;2;0.9600266489007329;0;0;1495;6;4;112;1383;2;
sel;accuracy;1;false;false;alteration;1;0.9600266489007329;0;0;1495;6;4;112;1383;2;0.9600266489007329;0;0;1495;6;4;112;1383;2;0.9600266489007329;0;0;1495;6;4;112;1383;2;0.9600266489007329;0;0;1495;6;4;112;1383;2;
sel;accuracy;2;false;false;alteration;1;0.9600266489007329;0;0;1495;6;4;112;1383;2;0.9600266489007329;0;0;1495;6;4;112;1383;2;0.9600266489007329;0;0;1495;6;4;112;1383;2;0.9600266489007329;0;0;1495;6;4;112;1383;2;
sel;accuracy;3;false;false;alteration;1;0.9600266489007329;0;0;1495;6;4;112;1383;2;0.9600266489007329;0;0;1495;6;4;112;1383;2;0.9600266489007329;0;0;1495;6;4;112;1383;2;0.9600266489007329;0;0;1495;6;4;112;1383;2;
sel;random;0;false;false;weakening;2;0.6584553928095873;947;471;0;84;1031;471;0;0;0.6584553928095873;947;471;0;84;1031;471;0;0;0.6764314247669774;1001;471;0;30;1031;471;0;0;0.6764314247669774;1001;471;0;30;1031;471;0;0;
sel;accuracy;0;false;false;weakening;2;0.6584553928095873;947;471;0;84;1031;471;0;0;0.6584553928095873;947;471;0;84;1031;471;0;0;0.6864181091877497;1031;471;0;0;1031;471;0;0;0.6864181091877497;1031;471;0;0;1031;471;0;0;
sel;accuracy;1;false;false;weakening;2;0.6864181091877497;1031;471;0;0;1031;471;0;0;0.6864181091877497;1031;471;0;0;1031;471;0;0;0.6864181091877497;1031;471;0;0;1031;471;0;0;0.6864181091877497;1031;471;0;0;1031;471;0;0;
sel;accuracy;2;false;false;weakening;2;0.6864181091877497;1031;471;0;0;1031;471;0;0;0.6864181091877497;1031;471;0;0;1031;471;0;0;0.6864181091877497;1031;471;0;0;1031;471;0;0;0.6864181091877497;1031;471;0;0;1031;471;0;0;
sel;accuracy;3;false;false;weakening;2;0.6864181091877497;1031;471;0;0;1031;471;0;0;0.6864181091877497;1031;471;0;0;1031;471;0;0;0.6864181091877497;1031;471;0;0;1031;471;0;0;0.6864181091877497;1031;471;0;0;1031;471;0;0;
sel;random;0;false;false;strengthening;2;0.6584553928095873;947;471;0;84;1031;471;0;0;0.6584553928095873;947;471;0;84;1031;471;0;0;0.4477363515312916;310;471;0;721;1016;452;19;15;0.4477363515312916;310;471;0;721;1016;452;19;15;
sel;accuracy;0;false;false;strengthening;2;0.6584553928095873;947;471;0;84;1031;471;0;0;0.6584553928095873;947;471;0;84;1031;471;0;0;0.7350199733688416;776;140;331;255;851;221;250;180;0.7350199733688416;776;140;331;255;851;221;250;180;
sel;accuracy;1;false;false;strengthening;2;0.7350199733688416;776;140;331;255;851;221;250;180;0.7350199733688416;776;140;331;255;851;221;250;180;0.7350199733688416;776;140;331;255;851;221;250;180;0.7350199733688416;776;140;331;255;851;221;250;180;
sel;accuracy;2;false;false;strengthening;2;0.7350199733688416;776;140;331;255;851;221;250;180;0.7350199733688416;776;140;331;255;851;221;250;180;0.7350199733688416;776;140;331;255;851;221;250;180;0.7350199733688416;776;140;331;255;851;221;250;180;
sel;accuracy;3;false;false;strengthening;2;0.7350199733688416;776;140;331;255;851;221;250;180;0.7350199733688416;776;140;331;255;851;221;250;180;0.7350199733688416;776;140;331;255;851;221;250;180;0.7350199733688416;776;140;331;255;851;221;250;180;
sel;random;0;false;false;alteration;2;0.6584553928095873;947;471;0;84;1031;471;0;0;0.6584553928095873;947;471;0;84;1031;471;0;0;0.4517310252996005;326;471;0;705;1031;471;0;0;0.4517310252996005;326;471;0;705;1031;471;0;0;
sel;accuracy;0;false;false;alteration;2;0.6584553928095873;947;471;0;84;1031;471;0;0;0.6584553928095873;947;471;0;84;1031;471;0;0;0.7350199733688416;776;140;331;255;851;221;250;180;0.7350199733688416;776;140;331;255;851;221;250;180;
sel;accuracy;1;false;false;alteration;2;0.7350199733688416;776;140;331;255;851;221;250;180;0.7350199733688416;776;140;331;255;851;221;250;180;0.7350199733688416;776;140;331;255;851;221;250;180;0.7350199733688416;776;140;331;255;851;221;250;180;
sel;accuracy;2;false;false;alteration;2;0.7350199733688416;776;140;331;255;851;221;250;180;0.7350199733688416;776;140;331;255;851;221;250;180;0.7350199733688416;776;140;331;255;851;221;250;180;0.7350199733688416;776;140;331;255;851;221;250;180;
sel;accuracy;3;false;false;alteration;2;0.7350199733688416;776;140;331;255;851;221;250;180;0.7350199733688416;776;140;331;255;851;221;250;180;0.7350199733688416;776;140;331;255;851;221;250;180;0.7350199733688416;776;140;331;255;851;221;250;180;
sel;random;0;false;false;weakening;3;0.6029313790806129;844;531;0;126;966;531;0;4;0.6029313790806129;844;531;0;126;966;531;0;4;0.6449033977348435;970;531;0;0;966;531;0;4;0.6449033977348435;970;531;0;0;966;531;0;4;
sel;accuracy;0;false;false;weakening;3;0.6029313790806129;844;531;0;126;966;531;0;4;0.6029313790806129;844;531;0;126;966;531;0;4;0.6455696202531646;970;531;0;0;968;531;0;2;0.6455696202531646;970;531;0;0;968;531;0;2;
sel;accuracy;1;false;false;weakening;3;0.6455696202531646;970;531;0;0;968;531;0;2;0.6455696202531646;970;531;0;0;968;531;0;2;0.6455696202531646;970;531;0;0;968;531;0;2;0.6455696202531646;970;531;0;0;968;531;0;2;
sel;accuracy;2;false;false;weakening;3;0.6455696202531646;970;531;0;0;968;531;0;2;0.6455696202531646;970;531;0;0;968;531;0;2;0.6455696202531646;970;531;0;0;968;531;0;2;0.6455696202531646;970;531;0;0;968;531;0;2;
sel;accuracy;3;false;false;weakening;3;0.6455696202531646;970;531;0;0;968;531;0;2;0.6455696202531646;970;531;0;0;968;531;0;2;0.6455696202531646;970;531;0;0;968;531;0;2;0.6455696202531646;970;531;0;0;968;531;0;2;
sel;random;0;false;false;strengthening;3;0.6029313790806129;844;531;0;126;966;531;0;4;0.6029313790806129;844;531;0;126;966;531;0;4;0.49533644237175223;0;0;531;970;956;531;0;14;0.49533644237175223;0;0;531;970;956;531;0;14;
sel;accuracy;0;false;false;strengthening;3;0.6029313790806129;844;531;0;126;966;531;0;4;0.6029313790806129;844;531;0;126;966;531;0;4;0.6875416389073951;752;185;346;218;966;531;0;4;0.6875416389073951;752;185;346;218;966;531;0;4;
sel;accuracy;1;false;false;strengthening;3;0.6875416389073951;752;185;346;218;966;531;0;4;0.6875416389073951;752;185;346;218;966;531;0;4;0.6875416389073951;752;185;346;218;966;531;0;4;0.6875416389073951;752;185;346;218;966;531;0;4;
sel;accuracy;2;false;false;strengthening;3;0.6875416389073951;752;185;346;218;966;531;0;4;0.6875416389073951;752;185;346;218;966;531;0;4;0.6875416389073951;752;185;346;218;966;531;0;4;0.6875416389073951;752;185;346;218;966;531;0;4;
sel;accuracy;3;false;false;strengthening;3;0.6875416389073951;752;185;346;218;966;531;0;4;0.6875416389073951;752;185;346;218;966;531;0;4;0.6875416389073951;752;185;346;218;966;531;0;4;0.6875416389073951;752;185;346;218;966;531;0;4;
sel;random;0;false;false;alteration;3;0.6029313790806129;844;531;0;126;966;531;0;4;0.6029313790806129;844;531;0;126;966;531;0;4;0.3757495003331113;188;531;0;782;936;527;4;34;0.3757495003331113;188;531;0;782;936;527;4;34;
sel;accuracy;0;false;false;alteration;3;0.6029313790806129;844;531;0;126;966;531;0;4;0.6029313790806129;844;531;0;126;966;531;0;4;0.6882078614257161;752;185;346;218;968;531;0;2;0.6882078614257161;752;185;346;218;968;531;0;2;
sel;accuracy;1;false;false;alteration;3;0.6882078614257161;752;185;346;218;968;531;0;2;0.6882078614257161;752;185;346;218;968;531;0;2;0.6882078614257161;752;185;346;218;968;531;0;2;0.6882078614257161;752;185;346;218;968;531;0;2;
sel;accuracy;2;false;false;alteration;3;0.6882078614257161;752;185;346;218;968;531;0;2;0.6882078614257161;752;185;346;218;968;531;0;2;0.6882078614257161;752;185;346;218;968;531;0;2;0.6882078614257161;752;185;346;218;968;531;0;2;
sel;accuracy;3;false;false;alteration;3;0.6882078614257161;752;185;346;218;968;531;0;2;0.6882078614257161;752;185;346;218;968;531;0;2;0.6882078614257161;752;185;346;218;968;531;0;2;0.6882078614257161;752;185;346;218;968;531;0;2;
sel;random;0;false;false;weakening;4;0.6219187208527648;930;564;0;7;937;564;0;0;0.6219187208527648;930;564;0;7;937;564;0;0;0.6219187208527648;930;564;0;7;937;564;0;0;0.6219187208527648;930;564;0;7;937;564;0;0;
sel;accuracy;0;false;false;weakening;4;0.6219187208527648;930;564;0;7;937;564;0;0;0.6219187208527648;930;564;0;7;937;564;0;0;0.6242504996668887;937;564;0;0;937;564;0;0;0.6242504996668887;937;564;0;0;937;564;0;0;
sel;accuracy;1;false;false;weakening;4;0.6242504996668887;937;564;0;0;937;564;0;0;0.6242504996668887;937;564;0;0;937;564;0;0;0.6242504996668887;937;564;0;0;937;564;0;0;0.6242504996668887;937;564;0;0;937;564;0;0;
sel;accuracy;2;false;false;weakening;4;0.6242504996668887;937;564;0;0;937;564;0;0;0.6242504996668887;937;564;0;0;937;564;0;0;0.6242504996668887;937;564;0;0;937;564;0;0;0.6242504996668887;937;564;0;0;937;564;0;0;
sel;accuracy;3;false;false;weakening;4;0.6242504996668887;937;564;0;0;937;564;0;0;0.6242504996668887;937;564;0;0;937;564;0;0;0.6242504996668887;937;564;0;0;937;564;0;0;0.6242504996668887;937;564;0;0;937;564;0;0;
sel;random;0;false;false;strengthening;4;0.6219187208527648;930;564;0;7;937;564;0;0;0.6219187208527648;930;564;0;7;937;564;0;0;0.3644237175216522;157;564;0;780;937;564;0;0;0.3644237175216522;157;564;0;780;937;564;0;0;
sel;accuracy;0;false;false;strengthening;4;0.6219187208527648;930;564;0;7;937;564;0;0;0.6219187208527648;930;564;0;7;937;564;0;0;0.6219187208527648;930;564;0;7;937;564;0;0;0.6219187208527648;930;564;0;7;937;564;0;0;
sel;accuracy;1;false;false;strengthening;4;0.6219187208527648;930;564;0;7;937;564;0;0;0.6219187208527648;930;564;0;7;937;564;0;0;0.6219187208527648;930;564;0;7;937;564;0;0;0.6219187208527648;930;564;0;7;937;564;0;0;
sel;accuracy;2;false;false;strengthening;4;0.6219187208527648;930;564;0;7;937;564;0;0;0.6219187208527648;930;564;0;7;937;564;0;0;0.6219187208527648;930;564;0;7;937;564;0;0;0.6219187208527648;930;564;0;7;937;564;0;0;
sel;accuracy;3;false;false;strengthening;4;0.6219187208527648;930;564;0;7;937;564;0;0;0.6219187208527648;930;564;0;7;937;564;0;0;0.6219187208527648;930;564;0;7;937;564;0;0;0.6219187208527648;930;564;0;7;937;564;0;0;
sel;random;0;false;false;alteration;4;0.6219187208527648;930;564;0;7;937;564;0;0;0.6219187208527648;930;564;0;7;937;564;0;0;0.619586942038641;930;564;0;7;929;563;1;8;0.619586942038641;930;564;0;7;929;563;1;8;
sel;accuracy;0;false;false;alteration;4;0.6219187208527648;930;564;0;7;937;564;0;0;0.6219187208527648;930;564;0;7;937;564;0;0;0.6242504996668887;937;564;0;0;937;564;0;0;0.6242504996668887;937;564;0;0;937;564;0;0;
sel;accuracy;1;false;false;alteration;4;0.6242504996668887;937;564;0;0;937;564;0;0;0.6242504996668887;937;564;0;0;937;564;0;0;0.6242504996668887;937;564;0;0;937;564;0;0;0.6242504996668887;937;564;0;0;937;564;0;0;
sel;accuracy;2;false;false;alteration;4;0.6242504996668887;937;564;0;0;937;564;0;0;0.6242504996668887;937;564;0;0;937;564;0;0;0.6242504996668887;937;564;0;0;937;564;0;0;0.6242504996668887;937;564;0;0;937;564;0;0;
sel;accuracy;3;false;false;alteration;4;0.6242504996668887;937;564;0;0;937;564;0;0;0.6242504996668887;937;564;0;0;937;564;0;0;0.6242504996668887;937;564;0;0;937;564;0;0;0.6242504996668887;937;564;0;0;937;564;0;0;
sel;random;0;false;false;weakening;5;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.005326231691078562;8;1494;0;0;8;1494;0;0;0.005326231691078562;8;1494;0;0;8;1494;0;0;
sel;accuracy;0;false;false;weakening;5;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;
sel;accuracy;1;false;false;weakening;5;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;
sel;accuracy;2;false;false;weakening;5;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;
sel;accuracy;3;false;false;weakening;5;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;
sel;random;0;false;false;strengthening;5;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.45505992010652463;5;731;763;3;4;899;595;4;0.45505992010652463;5;731;763;3;4;899;595;4;
sel;accuracy;0;false;false;strengthening;5;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.7729693741677763;0;0;1494;8;3;669;825;5;0.7729693741677763;0;0;1494;8;3;669;825;5;
sel;accuracy;1;false;false;strengthening;5;0.7729693741677763;0;0;1494;8;3;669;825;5;0.7729693741677763;0;0;1494;8;3;669;825;5;0.7729693741677763;0;0;1494;8;3;669;825;5;0.7729693741677763;0;0;1494;8;3;669;825;5;
